person_age,person_gender,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
32.0,1,96865.0,10,1,7500.0,6.04,0.08,10.0,601,0,0
24.0,1,56838.0,6,0,9000.0,11.49,0.16,4.0,647,1,0
22.0,0,37298.0,0,0,5000.0,14.88,0.13,4.0,711,0,1
23.0,0,39944.0,1,1,5000.0,13.99,0.13,3.0,597,1,0
42.0,1,67974.0,20,1,10000.0,15.41,0.15,11.0,586,0,1
31.0,0,28765.0,7,1,4500.0,5.79,0.16,9.0,669,0,0
31.0,0,100810.0,7,0,12000.0,12.42,0.12,7.0,670,1,0
25.0,0,45608.0,3,0,2800.0,16.29,0.06,3.0,628,0,1
25.0,0,88778.0,0,1,12000.0,11.11,0.14,4.0,590,0,1
29.0,0,54924.0,8,0,12000.0,12.99,0.22,8.0,672,0,0
28.0,1,21570.0,2,0,3344.0,13.01,0.15,6.0,574,0,1
33.0,0,133147.0,13,1,23800.0,10.25,0.18,5.0,650,0,0
24.0,1,39682.0,2,0,1500.0,9.91,0.04,3.0,587,0,1
27.0,1,81346.0,8,0,5000.0,14.09,0.06,5.0,607,1,0
23.0,1,85109.0,0,1,11000.0,7.14,0.13,4.0,653,0,0
26.0,1,73103.0,3,1,8000.0,16.77,0.11,2.0,552,1,0
30.0,0,56403.0,7,1,6000.0,12.68,0.11,6.0,690,1,0
39.0,0,46495.0,21,0,7000.0,11.49,0.15,11.0,631,0,0
35.0,0,60776.0,11,0,12000.0,13.47,0.2,7.0,610,1,0
25.0,0,90940.0,0,0,6400.0,15.99,0.07,2.0,489,1,0
26.0,1,62332.0,4,1,13000.0,15.33,0.21,2.0,622,0,1
43.0,1,55044.0,19,0,7000.0,5.42,0.13,12.0,662,0,0
39.0,0,54331.0,12,0,8000.0,12.53,0.15,14.0,586,0,0
22.0,1,32673.0,0,1,1550.0,11.01,0.05,2.0,630,0,1
32.0,0,85210.0,6,1,5000.0,11.47,0.06,6.0,680,0,0
29.0,0,60991.0,6,1,13650.0,10.99,0.22,9.0,626,1,0
31.0,0,163187.0,7,1,3574.0,13.13,0.02,9.0,553,1,0
21.0,1,53822.0,0,0,10000.0,14.74,0.19,4.0,642,0,0
29.0,1,85017.0,10,0,6125.0,7.49,0.07,8.0,678,0,0
26.0,1,74170.0,3,1,1500.0,12.84,0.02,2.0,623,0,0
29.0,1,112889.0,5,1,20000.0,16.82,0.18,8.0,652,1,0
35.0,0,92012.0,9,1,22000.0,9.88,0.24,8.0,535,1,0
32.0,1,94489.0,12,0,13000.0,12.53,0.14,10.0,607,1,0
30.0,1,157043.0,6,1,27000.0,11.71,0.17,6.0,676,1,0
30.0,1,41338.0,7,0,13724.0,15.49,0.33,10.0,691,0,1
47.0,1,47919.0,26,1,5600.0,8.59,0.12,11.0,658,0,0
33.0,0,37333.0,9,0,6500.0,8.49,0.17,10.0,697,1,0
25.0,1,81212.0,2,1,12000.0,9.63,0.15,4.0,636,0,1
26.0,1,120871.0,3,1,9200.0,6.03,0.08,3.0,677,0,0
24.0,1,86114.0,0,1,5000.0,14.96,0.06,3.0,663,0,1
23.0,0,79072.0,0,0,6000.0,11.99,0.08,2.0,627,1,0
